id,IdDataset,NombreConjuntoDatos,UrlConexionAPI
130,51407A,Informe semestral de planeamiento operativo eléctrico de largo plazo,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=51407A
131,77395a,Informe trimestral de auditoría de costos de combustible reportados para la operación,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=77395a
132,caeff0,Informe trimestral de planeamiento operativo eléctrico de mediano plazo,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=caeff0
133,b94b3c,Limitación de suministro en bolsa según la Res. CREG 001 de 2003,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=b94b3c
134,315976,Limitación de suministros a usuarios finales según la Res. CREG 116 de 1998,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=315976
135,972263,Listado de agentes registrados,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=972263
136,841808,Listado de Áreas Operativas del Sistema de Interconectado Nacional,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=841808
137,A0CF2A,Listado de Embalses que sirven al Sistema Interconectado Nacional,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=A0CF2A
138,568929,Listado de Operadores de activos del Sistema Interconectado Nacional,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=568929
139,7F18B1,Listado de plantas de generación en pruebas,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=7F18B1
140,cc59b1,Listado de series hidrológicas,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=cc59b1
141,10F2C9,Listado de Subáreas Operativas del Sistema de Interconectado Nacional,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=10F2C9
142,F99E13,Listado de Subestaciones del STN y el STR,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=F99E13
143,670221,Listado de unidades de generación,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=670221
144,42f98c,Meteorología local en Plantas Eólicas,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=42f98c
145,7e704d,Meteorología local en Plantas Solares,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=7e704d
146,521384,Montos de garantías para cubrir las transacciones en el mercado de energía mayorista,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=521384
147,86d025,Montos de garantías para cubrir las transacciones en el mercado de energía mayorista agregados,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=86d025
148,e71658,Montos de garantías y mecanismos alternativos para cubrir las transacciones en el mercado de energía mayorista,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=e71658
149,054d02,Montos de garantías y mecanismos alternativos para cubrir las transacciones en el mercado de energía mayorista agregados,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=054d02
150,53c5f4,Montos por indisponibilidad de las líneas de transmisión nacional y regional del SIN en COP,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=53c5f4
151,BD26DC,Nivel de embalse declarado por el agente diariamente,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=BD26DC
152,71a7b9,Niveles Mínimos Operativos de Embalses de invierno,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=71a7b9
153,bd583d,Niveles Mínimos Operativos de Embalses de verano,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=bd583d
154,629B6D,Oportunidad en la entrega de información por parte de los agentes de contratos largo plazo,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=629B6D
155,37A508,Panorama energético Corto Plazo Embalse,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=37A508
156,ADE905,Panorama energético Corto Plazo Generación,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=ADE905
157,AA5C78,Panorama energético Corto Plazo Supuestos y Resultados,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=AA5C78
158,7538fd,Parámetros técnicos de las líneas de transmisión,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=7538fd
159,0bfc9d,Parámetros técnicos de las plantas de generación,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=0bfc9d
160,7580FA,Participación en Convocatorias de Participación en Subasta de Cierre de agentes registrados,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=7580FA
